id_name,category,price_chf,old_price,sellable_online,link,other_colors,description,designer,width,length,depth
19300107_PAX,Wardrobes,1345,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s19300107/,No,"Wardrobe,          276x211x236 cm",IKEA of Sweden/Ehlén Johansson,210,236,275
29180581_PAX,Wardrobes,418.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-hasvik-white-s29180581/,No,"Wardrobe,          150x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,150
79285991_PAX,Wardrobes,200,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-vikedal-s79285991/,No,"Wardrobe,          75x60x201 cm",IKEA of Sweden/Ehlén Johansson,60,201,75
99305851_PLATSA,Wardrobes,189.5,SR 885,TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-shoe-shelf-white-vaerd-white-s99305851/,No,"Wardrobe with shoe shelf,          80x42x191 cm",IKEA of Sweden/Ola Wihlborg,42,191,80
39305745_PAX,Wardrobes,566.25,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-mehamn-auli-s39305745/,No,"Wardrobe,          200x44x236 cm",Ehlén Johansson/IKEA of Sweden,44,236,200
79248588_PLATSA,Wardrobes,574,"SR 2,870",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s79248588/,No,"Wardrobe,          240x57x251 cm",Ola Wihlborg/IKEA of Sweden,57,251,240
439468_NORDKISA,Wardrobes,248.75,No old price,TRUE,https://www.ikea.com/sa/en/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-00439468/,No,"Open wardrobe with sliding door,          120x186 cm",L Hilland/J Karlsson,47,186,120
20305707_BUSUNGE,Wardrobes,161.25,No old price,TRUE,https://www.ikea.com/sa/en/p/busunge-wardrobe-white-20305707/,No,"Wardrobe,          80x139 cm",Carl Öjerstam,52,139,80
39127710_PAX,Wardrobes,218.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-bergsbo-white-s39127710/,Yes,"Wardrobe,          100x60x236 cm",K Hagberg/M Hagberg/Ehlén Johansson/IKEA of Sweden,60,236,100
10308787_TRYSIL,Wardrobes,223.75,No old price,TRUE,https://www.ikea.com/sa/en/p/trysil-wardrobe-white-mirror-glass-10308787/,No,"Wardrobe,          79x61x202 cm",K Hagberg/M Hagberg,61,202,79
39304128_PAX,Wardrobes,623.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-flisberget-light-beige-s39304128/,No,"Wardrobe,          200x60x236 cm",IKEA of Sweden/Ehlén Johansson/K Hagberg/M Hagberg,60,236,200
10269696_SUNDVIK,Wardrobes,273.75,No old price,TRUE,https://www.ikea.com/sa/en/p/sundvik-wardrobe-white-10269696/,No,"Wardrobe,          80x50x171 cm",Jon Karlsson,50,171,80
50347616_VISTHUS,Wardrobes,411.25,No old price,TRUE,https://www.ikea.com/sa/en/p/visthus-wardrobe-grey-white-50347616/,No,"Wardrobe,          122x59x216 cm",T Winkel/T Jacobsen,59,216,122
19303380_PAX,Wardrobes,467.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s19303380/,No,"Wardrobe,          150x44x236 cm",Ehlén Johansson/IKEA of Sweden,44,236,150
19127297_PAX,Wardrobes,450,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-bergsbo-white-s19127297/,Yes,"Wardrobe,          150x60x236 cm",Ehlén Johansson/K Hagberg/M Hagberg/IKEA of Sweden,60,236,150
30439565_SYVDE,Wardrobes,148.75,No old price,TRUE,https://www.ikea.com/sa/en/p/syvde-cabinet-with-glass-doors-white-30439565/,No,"Cabinet with glass doors,          100x123 cm",IKEA of Sweden,48,123,100
19275075_STUVA / FRITIDS,Wardrobes,386.25,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s19275075/,Yes,"Wardrobe,          120x50x192 cm",Ebba Strandmark/IKEA of Sweden,50,192,120
80379620_HEMNES,Wardrobes,74.375,SR 595,TRUE,https://www.ikea.com/sa/en/p/hemnes-open-wardrobe-white-stained-80379620/,No,"Open wardrobe,          99x37x130 cm",IKEA of Sweden,37,130,99
9303719_PAX,Wardrobes,387.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-forsand-vikedal-s09303719/,No,"Wardrobe,          150x38x236 cm",IKEA of Sweden/Ehlén Johansson,38,236,150
29248369_PLATSA,Wardrobes,551.375,"SR 2,760",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-sannidal-s29248369/,No,"Wardrobe,          340x42x241 cm",IKEA of Sweden,42,241,340
19252856_STUVA / FRITIDS,Wardrobes,168.75,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s19252856/,Yes,"Wardrobe,          60x50x192 cm",Ebba Strandmark/IKEA of Sweden,50,192,60
9305761_PAX,Wardrobes,535,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-stained-ash-effect-black-brown-mehamn-black-brown-stained-ash-effect-s09305761/,No,"Wardrobe,          200x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,200
69127493_PAX,Wardrobes,132.5,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-vikedal-mirror-glass-s69127493/,Yes,"Wardrobe,          50x60x201 cm",Ehlén Johansson/IKEA of Sweden,60,201,50
39298472_PLATSA,Wardrobes,443.125,"SR 2,220",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-9-doors-white-fonnes-ridabu-s39298472/,No,"Wardrobe with 9 doors,          260x42x221 cm",IKEA of Sweden,42,221,260
29221652_PAX,Wardrobes,1315,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-tyssedal-tyssedal-glass-s29221652/,No,"Wardrobe,          300x60x236 cm",IKEA of Sweden/Ebba Strandmark/Ehlén Johansson,60,236,300
89329348_PAX / FORSAND/VIKEDAL,Wardrobes,377.5,"SR 1,545",TRUE,https://www.ikea.com/sa/en/p/pax-forsand-vikedal-wardrobe-combination-brown-stained-ash-effect-mirror-glass-s89329348/,No,"Wardrobe combination,          150x60x236 cm",Ehlén Johansson/IKEA of Sweden,60,236,150
50251270_HEMNES,Wardrobes,386.25,No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-wardrobe-with-2-sliding-doors-white-stain-50251270/,No,"Wardrobe with 2 sliding doors,          120x197 cm",Carina Bengs,59,197,120
30439476_NORDKISA,Wardrobes,223.75,No old price,TRUE,https://www.ikea.com/sa/en/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-30439476/,No,"Open wardrobe with sliding door,          120x123 cm",L Hilland/J Karlsson,47,123,120
19203781_PLATSA,Wardrobes,397,"SR 1,985",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-white-fonnes-white-s19203781/,No,"Wardrobe,          195-220x57x241 cm",IKEA of Sweden/Ola Wihlborg,57,241,160
29252912_STUVA / FRITIDS,Wardrobes,207.5,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s29252912/,Yes,"Wardrobe,          60x50x192 cm",Ebba Strandmark/IKEA of Sweden,50,192,60
39305788_PAX,Wardrobes,865,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-mehamn-s39305788/,No,"Wardrobe,          250x66x236 cm",IKEA of Sweden/Ehlén Johansson,66,236,250
59328897_PAX / BERGSBO,Wardrobes,458.75,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-bergsbo-wardrobe-combination-white-frosted-glass-s59328897/,No,"Wardrobe combination,          200x38x236 cm",Ehlén Johansson/IKEA of Sweden/K Hagberg/M Hagberg,38,236,200
