gemeinde;bezirk;nationalitaet;konfession;anzahl_personen;prozent_personen
Biel-Benken;Bezirk Arlesheim;Schweiz;Unbekannt;1326;0.004376468724421091
Biel-Benken;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;28;9.241412087767011e-5
Biel-Benken;Bezirk Arlesheim;Ausland;Römisch-katholisch;91;3.0034589285242783e-4
Biel-Benken;Bezirk Arlesheim;Ausland;Christkatholisch;1;3.3005043170596467e-6
Biel-Benken;Bezirk Arlesheim;Ausland;Unbekannt;451;0.0014885274469939006
Binningen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2973;0.009812399334618329
Binningen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2041;0.0067363293111187385
Binningen;Bezirk Arlesheim;Schweiz;Christkatholisch;33;1.0891664246296834e-4
Binningen;Bezirk Arlesheim;Schweiz;Unbekannt;6181;0.020400417183745675
Binningen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;193;6.369973331925118e-4
Binningen;Bezirk Arlesheim;Ausland;Römisch-katholisch;600;0.001980302590235788
Binningen;Bezirk Arlesheim;Ausland;Christkatholisch;10;3.3005043170596465e-5
Binningen;Bezirk Arlesheim;Ausland;Unbekannt;4036;0.013320835423652734
Birsfelden;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1596;0.005267604890027196
Birsfelden;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1374;0.004534892931639955
Birsfelden;Bezirk Arlesheim;Schweiz;Christkatholisch;15;4.95075647558947e-5
Birsfelden;Bezirk Arlesheim;Schweiz;Unbekannt;3942;0.013010588017849127
Birsfelden;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;136;4.4886858712011197e-4
Birsfelden;Bezirk Arlesheim;Ausland;Römisch-katholisch;603;0.001990204103186967
Birsfelden;Bezirk Arlesheim;Ausland;Christkatholisch;43;1.419216856335648e-4
Birsfelden;Bezirk Arlesheim;Ausland;Unbekannt;2867;0.009462545877010007
Bottmingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1359;0.00448538536688406
Bottmingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;992;0.0032741002825231696
Bottmingen;Bezirk Arlesheim;Schweiz;Christkatholisch;18;5.940907770707364e-5
Bottmingen;Bezirk Arlesheim;Schweiz;Unbekannt;2658;0.008772740474744542
Bottmingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;73;2.409368151453542e-4
Bottmingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;275;9.076386871914028e-4
Bottmingen;Bezirk Arlesheim;Ausland;Christkatholisch;18;5.940907770707364e-5
Bottmingen;Bezirk Arlesheim;Ausland;Unbekannt;1641;0.0054161275842948805
Ettingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1070;0.003531539619253822
Ettingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1399;0.004617405539566446
Ettingen;Bezirk Arlesheim;Schweiz;Christkatholisch;5;1.6502521585298232e-5
Ettingen;Bezirk Arlesheim;Schweiz;Unbekannt;2023;0.006676920233411665
Ettingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;42;1.3862118131650517e-4
Ettingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;269;8.878356612890449e-4
Ettingen;Bezirk Arlesheim;Ausland;Christkatholisch;8;2.6404034536477173e-5
Ettingen;Bezirk Arlesheim;Ausland;Unbekannt;810;0.002673408496818314
Münchenstein;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2195;0.0072446069759459246
Münchenstein;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1664;0.005492039183587252
Münchenstein;Bezirk Arlesheim;Schweiz;Christkatholisch;18;5.940907770707364e-5
Münchenstein;Bezirk Arlesheim;Schweiz;Unbekannt;5029;0.016598236210492962
Münchenstein;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;104;3.4325244897420325e-4
Münchenstein;Bezirk Arlesheim;Ausland;Römisch-katholisch;618;0.0020397116679428617
Münchenstein;Bezirk Arlesheim;Ausland;Christkatholisch;5;1.6502521585298232e-5
Münchenstein;Bezirk Arlesheim;Ausland;Unbekannt;2869;0.009469146885644127
Muttenz;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;4450;0.014687244210915428
Muttenz;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2651;0.008749636944525123
Muttenz;Bezirk Arlesheim;Schweiz;Christkatholisch;32;1.056161381459087e-4
Muttenz;Bezirk Arlesheim;Schweiz;Unbekannt;6880;0.02270746970137037
Muttenz;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;187;6.17194307290154e-4
Muttenz;Bezirk Arlesheim;Ausland;Römisch-katholisch;871;0.0028747392601589524
Muttenz;Bezirk Arlesheim;Ausland;Christkatholisch;3;9.901512951178941e-6
Muttenz;Bezirk Arlesheim;Ausland;Unbekannt;3210;0.010594618857761466
Oberwil (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2197;0.007251207984580044
Oberwil (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;1897;0.00626105668946215
Oberwil (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;29;9.571462519472975e-5
Oberwil (BL);Bezirk Arlesheim;Schweiz;Unbekannt;4553;0.015027196155572572
Oberwil (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;101;3.3335093602302433e-4
Oberwil (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;372;0.0012277876059461886
Oberwil (BL);Bezirk Arlesheim;Ausland;Christkatholisch;9;2.970453885353682e-5
Oberwil (BL);Bezirk Arlesheim;Ausland;Unbekannt;2385;0.007871702796187258
Pfeffingen;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;459;0.0015149314815303778
Pfeffingen;Bezirk Arlesheim;Schweiz;Römisch-katholisch;595;0.0019638000686504897
Pfeffingen;Bezirk Arlesheim;Schweiz;Christkatholisch;2;6.601008634119293e-6
Pfeffingen;Bezirk Arlesheim;Schweiz;Unbekannt;932;0.003076070023499591
Pfeffingen;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;31;1.0231563382884905e-4
Pfeffingen;Bezirk Arlesheim;Ausland;Römisch-katholisch;64;2.112322762918174e-4
Pfeffingen;Bezirk Arlesheim;Ausland;Unbekannt;333;0.0010990679375808624
Reinach (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;3604;0.011895017558682967
Reinach (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;3530;0.011650780239220553
Reinach (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;40;1.3202017268238586e-4
Reinach (BL);Bezirk Arlesheim;Schweiz;Unbekannt;7907;0.026097087634990628
Reinach (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;159;5.247801864124838e-4
Reinach (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;772;0.0025479893327700473
Reinach (BL);Bezirk Arlesheim;Ausland;Christkatholisch;3;9.901512951178941e-6
Reinach (BL);Bezirk Arlesheim;Ausland;Unbekannt;4647;0.015337443561376179
Schönenbuch;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;345;0.001138673989385578
Schönenbuch;Bezirk Arlesheim;Schweiz;Römisch-katholisch;295;9.736487735325958e-4
Schönenbuch;Bezirk Arlesheim;Schweiz;Christkatholisch;10;3.3005043170596465e-5
Schönenbuch;Bezirk Arlesheim;Schweiz;Unbekannt;614;0.0020265096506746232
Schönenbuch;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;12;3.9606051804715763e-5
Schönenbuch;Bezirk Arlesheim;Ausland;Römisch-katholisch;37;1.2211865973120692e-4
Schönenbuch;Bezirk Arlesheim;Ausland;Unbekannt;181;5.97391281387796e-4
Therwil;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;2163;0.0071389908378000156
Therwil;Bezirk Arlesheim;Schweiz;Römisch-katholisch;2060;0.0067990388931428725
Therwil;Bezirk Arlesheim;Schweiz;Christkatholisch;35;1.1551765109708763e-4
Therwil;Bezirk Arlesheim;Schweiz;Unbekannt;3899;0.012868666332215563
Therwil;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;74;2.4423731946241384e-4
Therwil;Bezirk Arlesheim;Ausland;Römisch-katholisch;378;0.0012475906318485464
Therwil;Bezirk Arlesheim;Ausland;Christkatholisch;14;4.6207060438835055e-5
Therwil;Bezirk Arlesheim;Ausland;Unbekannt;1536;0.005069574631003618
Blauen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;69;2.277347978771156e-4
Blauen;Bezirk Laufen;Schweiz;Römisch-katholisch;312;0.0010297573469226098
Blauen;Bezirk Laufen;Schweiz;Unbekannt;239;7.888205317772556e-4
Blauen;Bezirk Laufen;Ausland;Evangelisch-reformiert;2;6.601008634119293e-6
Blauen;Bezirk Laufen;Ausland;Römisch-katholisch;11;3.6305547487656114e-5
Blauen;Bezirk Laufen;Ausland;Unbekannt;63;2.0793177197475773e-4
Brislach;Bezirk Laufen;Schweiz;Evangelisch-reformiert;202;6.667018720460487e-4
Brislach;Bezirk Laufen;Schweiz;Römisch-katholisch;811;0.0026767090011353737
Brislach;Bezirk Laufen;Schweiz;Christkatholisch;2;6.601008634119293e-6
Brislach;Bezirk Laufen;Schweiz;Unbekannt;531;0.0017525677923586724
Brislach;Bezirk Laufen;Ausland;Evangelisch-reformiert;12;3.9606051804715763e-5
Brislach;Bezirk Laufen;Ausland;Römisch-katholisch;54;1.7822723312122094e-4
Brislach;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Brislach;Bezirk Laufen;Ausland;Unbekannt;183;6.039922900219154e-4
Burg im Leimental;Bezirk Laufen;Schweiz;Evangelisch-reformiert;53;1.7492672880416128e-4
Burg im Leimental;Bezirk Laufen;Schweiz;Römisch-katholisch;68;2.2443429356005598e-4
Burg im Leimental;Bezirk Laufen;Schweiz;Christkatholisch;2;6.601008634119293e-6
Burg im Leimental;Bezirk Laufen;Schweiz;Unbekannt;130;4.290655612177541e-4
Burg im Leimental;Bezirk Laufen;Ausland;Evangelisch-reformiert;1;3.3005043170596467e-6
Burg im Leimental;Bezirk Laufen;Ausland;Römisch-katholisch;4;1.3202017268238587e-5
Burg im Leimental;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Burg im Leimental;Bezirk Laufen;Ausland;Unbekannt;30;9.90151295117894e-5
Dittingen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;59;1.9472975470651916e-4
Dittingen;Bezirk Laufen;Schweiz;Römisch-katholisch;319;0.0010528608771420273
Dittingen;Bezirk Laufen;Schweiz;Christkatholisch;1;3.3005043170596467e-6
Dittingen;Bezirk Laufen;Schweiz;Unbekannt;231;7.624164972407784e-4
Dittingen;Bezirk Laufen;Ausland;Evangelisch-reformiert;7;2.3103530219417528e-5
Dittingen;Bezirk Laufen;Ausland;Römisch-katholisch;23;7.591159929237187e-5
Dittingen;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Dittingen;Bezirk Laufen;Ausland;Unbekannt;108;3.5645446624244187e-4
Duggingen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;247;8.152245663137327e-4
Duggingen;Bezirk Laufen;Schweiz;Römisch-katholisch;357;0.0011782800411902939
Duggingen;Bezirk Laufen;Schweiz;Christkatholisch;3;9.901512951178941e-6
Duggingen;Bezirk Laufen;Schweiz;Unbekannt;648;0.002138726797454651
Duggingen;Bezirk Laufen;Ausland;Evangelisch-reformiert;16;5.280806907295435e-5
Duggingen;Bezirk Laufen;Ausland;Römisch-katholisch;58;1.914292503894595e-4
Duggingen;Bezirk Laufen;Ausland;Unbekannt;292;9.637472605814168e-4
Grellingen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;256;8.449291051672695e-4
Grellingen;Bezirk Laufen;Schweiz;Römisch-katholisch;368;0.00121458558867795
Grellingen;Bezirk Laufen;Schweiz;Christkatholisch;6;1.9803025902357882e-5
Grellingen;Bezirk Laufen;Schweiz;Unbekannt;737;0.0024324716816729597
Grellingen;Bezirk Laufen;Ausland;Evangelisch-reformiert;17;5.6108573390013996e-5
Grellingen;Bezirk Laufen;Ausland;Römisch-katholisch;134;4.4226757848599266e-4
Grellingen;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Grellingen;Bezirk Laufen;Ausland;Unbekannt;464;0.001531434003115676
Laufen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;605;0.001996805111821086
Laufen;Bezirk Laufen;Schweiz;Römisch-katholisch;1987;0.006558102077997518
Laufen;Bezirk Laufen;Schweiz;Christkatholisch;50;1.6502521585298234e-4
Laufen;Bezirk Laufen;Schweiz;Unbekannt;1660;0.0054788371663190135
Laufen;Bezirk Laufen;Ausland;Evangelisch-reformiert;40;1.3202017268238586e-4
Laufen;Bezirk Laufen;Ausland;Römisch-katholisch;524;0.001729464262139255
Laufen;Bezirk Laufen;Ausland;Christkatholisch;3;9.901512951178941e-6
Laufen;Bezirk Laufen;Ausland;Unbekannt;1211;0.003996910727959232
Liesberg;Bezirk Laufen;Schweiz;Evangelisch-reformiert;133;4.38967074168933e-4
Liesberg;Bezirk Laufen;Schweiz;Römisch-katholisch;477;0.0015743405592374515
Liesberg;Bezirk Laufen;Schweiz;Christkatholisch;1;3.3005043170596467e-6
Liesberg;Bezirk Laufen;Schweiz;Unbekannt;330;0.0010891664246296833
Liesberg;Bezirk Laufen;Ausland;Evangelisch-reformiert;14;4.6207060438835055e-5
Liesberg;Bezirk Laufen;Ausland;Römisch-katholisch;29;9.571462519472975e-5
Liesberg;Bezirk Laufen;Ausland;Unbekannt;132;4.3566656985187334e-4
Nenzlingen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;71;2.3433580651123492e-4
Nenzlingen;Bezirk Laufen;Schweiz;Römisch-katholisch;169;5.577852295830803e-4
Nenzlingen;Bezirk Laufen;Schweiz;Unbekannt;146;4.818736302907084e-4
Nenzlingen;Bezirk Laufen;Ausland;Evangelisch-reformiert;9;2.970453885353682e-5
Nenzlingen;Bezirk Laufen;Ausland;Römisch-katholisch;11;3.6305547487656114e-5
Nenzlingen;Bezirk Laufen;Ausland;Unbekannt;58;1.914292503894595e-4
Roggenburg;Bezirk Laufen;Schweiz;Evangelisch-reformiert;31;1.0231563382884905e-4
Roggenburg;Bezirk Laufen;Schweiz;Römisch-katholisch;88;2.904443799012489e-4
Roggenburg;Bezirk Laufen;Schweiz;Unbekannt;105;3.465529532912629e-4
Roggenburg;Bezirk Laufen;Ausland;Römisch-katholisch;3;9.901512951178941e-6
Roggenburg;Bezirk Laufen;Ausland;Unbekannt;24;7.921210360943153e-5
Röschenz;Bezirk Laufen;Schweiz;Evangelisch-reformiert;217;7.162094368019433e-4
Röschenz;Bezirk Laufen;Schweiz;Römisch-katholisch;970;0.0032014891875478575
Röschenz;Bezirk Laufen;Schweiz;Christkatholisch;8;2.6404034536477173e-5
Röschenz;Bezirk Laufen;Schweiz;Unbekannt;520;0.0017162622448710163
Röschenz;Bezirk Laufen;Ausland;Evangelisch-reformiert;7;2.3103530219417528e-5
Röschenz;Bezirk Laufen;Ausland;Römisch-katholisch;54;1.7822723312122094e-4
Röschenz;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Röschenz;Bezirk Laufen;Ausland;Unbekannt;153;5.049771605101259e-4
Wahlen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;197;6.501993504607504e-4
Wahlen;Bezirk Laufen;Schweiz;Römisch-katholisch;679;0.0022410424312835
Wahlen;Bezirk Laufen;Schweiz;Christkatholisch;11;3.6305547487656114e-5
Wahlen;Bezirk Laufen;Schweiz;Unbekannt;436;0.0014390198822380059
Wahlen;Bezirk Laufen;Ausland;Evangelisch-reformiert;8;2.6404034536477173e-5
Wahlen;Bezirk Laufen;Ausland;Römisch-katholisch;62;2.046312676576981e-4
Wahlen;Bezirk Laufen;Ausland;Unbekannt;227;7.492144799725398e-4
Zwingen;Bezirk Laufen;Schweiz;Evangelisch-reformiert;265;8.746336440208064e-4
Zwingen;Bezirk Laufen;Schweiz;Römisch-katholisch;689;0.0022740474744540966
Zwingen;Bezirk Laufen;Schweiz;Christkatholisch;6;1.9803025902357882e-5
Zwingen;Bezirk Laufen;Schweiz;Unbekannt;1120;0.0036965648351068043
Zwingen;Bezirk Laufen;Ausland;Evangelisch-reformiert;16;5.280806907295435e-5
Zwingen;Bezirk Laufen;Ausland;Römisch-katholisch;156;5.148786734613049e-4
Zwingen;Bezirk Laufen;Ausland;Christkatholisch;1;3.3005043170596467e-6
Zwingen;Bezirk Laufen;Ausland;Unbekannt;643;0.0021222242758693528
Arisdorf;Bezirk Liestal;Schweiz;Evangelisch-reformiert;605;0.001996805111821086
Arisdorf;Bezirk Liestal;Schweiz;Römisch-katholisch;213;7.030074195337047e-4
Arisdorf;Bezirk Liestal;Schweiz;Christkatholisch;5;1.6502521585298232e-5
Arisdorf;Bezirk Liestal;Schweiz;Unbekannt;669;0.0022080373881129037
Arisdorf;Bezirk Liestal;Ausland;Evangelisch-reformiert;24;7.921210360943153e-5
Arisdorf;Bezirk Liestal;Ausland;Römisch-katholisch;45;1.485226942676841e-4
Arisdorf;Bezirk Liestal;Ausland;Christkatholisch;1;3.3005043170596467e-6
Arisdorf;Bezirk Liestal;Ausland;Unbekannt;219;7.228104454360627e-4
Augst;Bezirk Liestal;Schweiz;Evangelisch-reformiert;248;8.185250706307924e-4
Augst;Bezirk Liestal;Schweiz;Römisch-katholisch;152;5.016766561930663e-4
Augst;Bezirk Liestal;Schweiz;Unbekannt;380;0.0012541916404826658
Augst;Bezirk Liestal;Ausland;Evangelisch-reformiert;16;5.280806907295435e-5
Augst;Bezirk Liestal;Ausland;Römisch-katholisch;47;1.551237029018034e-4
Augst;Bezirk Liestal;Ausland;Christkatholisch;1;3.3005043170596467e-6
Augst;Bezirk Liestal;Ausland;Unbekannt;254;8.383280965331502e-4
Bubendorf;Bezirk Liestal;Schweiz;Evangelisch-reformiert;1787;0.005898001214585589
Bubendorf;Bezirk Liestal;Schweiz;Römisch-katholisch;507;0.0016733556887492409
Bubendorf;Bezirk Liestal;Schweiz;Christkatholisch;7;2.3103530219417528e-5
Bubendorf;Bezirk Liestal;Schweiz;Unbekannt;1362;0.004495286879835239
Bubendorf;Bezirk Liestal;Ausland;Evangelisch-reformiert;31;1.0231563382884905e-4
Bubendorf;Bezirk Liestal;Ausland;Römisch-katholisch;178;5.874897684366171e-4
Bubendorf;Bezirk Liestal;Ausland;Christkatholisch;13;4.2906556121775406e-5
Bubendorf;Bezirk Liestal;Ausland;Unbekannt;639;0.0021090222586011144
Frenkendorf;Bezirk Liestal;Schweiz;Evangelisch-reformiert;1520;0.005016766561930663
Frenkendorf;Bezirk Liestal;Schweiz;Römisch-katholisch;708;0.0023367570564782297
Frenkendorf;Bezirk Liestal;Schweiz;Christkatholisch;10;3.3005043170596465e-5
Frenkendorf;Bezirk Liestal;Schweiz;Unbekannt;1995;0.0065845061125339955
Frenkendorf;Bezirk Liestal;Ausland;Evangelisch-reformiert;70;2.3103530219417527e-4
Frenkendorf;Bezirk Liestal;Ausland;Römisch-katholisch;596;0.0019671005729675495
Frenkendorf;Bezirk Liestal;Ausland;Christkatholisch;9;2.970453885353682e-5
Frenkendorf;Bezirk Liestal;Ausland;Unbekannt;1791;0.005911203231853827
Füllinsdorf;Bezirk Liestal;Schweiz;Evangelisch-reformiert;1112;0.003670160800570327
Füllinsdorf;Bezirk Liestal;Schweiz;Römisch-katholisch;546;0.001802075357114567
Füllinsdorf;Bezirk Liestal;Schweiz;Christkatholisch;6;1.9803025902357882e-5
Füllinsdorf;Bezirk Liestal;Schweiz;Unbekannt;1541;0.005086077152588916
Füllinsdorf;Bezirk Liestal;Ausland;Evangelisch-reformiert;54;1.7822723312122094e-4
Füllinsdorf;Bezirk Liestal;Ausland;Römisch-katholisch;366;0.0012079845800438307
Füllinsdorf;Bezirk Liestal;Ausland;Christkatholisch;5;1.6502521585298232e-5
Füllinsdorf;Bezirk Liestal;Ausland;Unbekannt;1151;0.0037988804689356535
Giebenach;Bezirk Liestal;Schweiz;Evangelisch-reformiert;241;7.954215404113749e-4
Giebenach;Bezirk Liestal;Schweiz;Römisch-katholisch;151;4.983761518760067e-4
Giebenach;Bezirk Liestal;Schweiz;Christkatholisch;2;6.601008634119293e-6
Giebenach;Bezirk Liestal;Schweiz;Unbekannt;437;0.0014423203865550657
Giebenach;Bezirk Liestal;Ausland;Evangelisch-reformiert;18;5.940907770707364e-5
Giebenach;Bezirk Liestal;Ausland;Römisch-katholisch;70;2.3103530219417527e-4
Giebenach;Bezirk Liestal;Ausland;Christkatholisch;2;6.601008634119293e-6
Giebenach;Bezirk Liestal;Ausland;Unbekannt;224;7.393129670213609e-4
Hersberg;Bezirk Liestal;Schweiz;Evangelisch-reformiert;146;4.818736302907084e-4
Hersberg;Bezirk Liestal;Schweiz;Römisch-katholisch;43;1.419216856335648e-4
Hersberg;Bezirk Liestal;Schweiz;Christkatholisch;1;3.3005043170596467e-6
Hersberg;Bezirk Liestal;Schweiz;Unbekannt;148;4.884746389248277e-4
Hersberg;Bezirk Liestal;Ausland;Evangelisch-reformiert;6;1.9803025902357882e-5
Hersberg;Bezirk Liestal;Ausland;Römisch-katholisch;20;6.601008634119293e-5
Hersberg;Bezirk Liestal;Ausland;Unbekannt;31;1.0231563382884905e-4
Lausen;Bezirk Liestal;Schweiz;Evangelisch-reformiert;1564;0.0051619887518812874
Lausen;Bezirk Liestal;Schweiz;Römisch-katholisch;699;0.002307052517624693
Lausen;Bezirk Liestal;Schweiz;Christkatholisch;6;1.9803025902357882e-5
Lausen;Bezirk Liestal;Schweiz;Unbekannt;1897;0.00626105668946215
Lausen;Bezirk Liestal;Ausland;Evangelisch-reformiert;49;1.6172471153592268e-4
Lausen;Bezirk Liestal;Ausland;Römisch-katholisch;475;0.001567739550603332
Lausen;Bezirk Liestal;Ausland;Christkatholisch;8;2.6404034536477173e-5
Lausen;Bezirk Liestal;Ausland;Unbekannt;1242;0.004099226361788081
Liestal;Bezirk Liestal;Schweiz;Evangelisch-reformiert;3978;0.013129406173263275
Liestal;Bezirk Liestal;Schweiz;Römisch-katholisch;1953;0.00644588493121749
Liestal;Bezirk Liestal;Schweiz;Christkatholisch;37;1.2211865973120692e-4
Liestal;Bezirk Liestal;Schweiz;Unbekannt;5104;0.016845774034272436
Liestal;Bezirk Liestal;Ausland;Evangelisch-reformiert;156;5.148786734613049e-4
Liestal;Bezirk Liestal;Ausland;Römisch-katholisch;1060;0.0034985345760832256
Liestal;Bezirk Liestal;Ausland;Christkatholisch;17;5.6108573390013996e-5
Liestal;Bezirk Liestal;Ausland;Unbekannt;3794;0.0125221133789243
Lupsingen;Bezirk Liestal;Schweiz;Evangelisch-reformiert;561;0.0018515829218704617
Lupsingen;Bezirk Liestal;Schweiz;Römisch-katholisch;206;6.799038893142872e-4
Lupsingen;Bezirk Liestal;Schweiz;Christkatholisch;7;2.3103530219417528e-5
Lupsingen;Bezirk Liestal;Schweiz;Unbekannt;578;0.0019076914952604758
Lupsingen;Bezirk Liestal;Ausland;Evangelisch-reformiert;18;5.940907770707364e-5
Lupsingen;Bezirk Liestal;Ausland;Römisch-katholisch;51;1.68325720170042e-4
Lupsingen;Bezirk Liestal;Ausland;Christkatholisch;5;1.6502521585298232e-5
Lupsingen;Bezirk Liestal;Ausland;Unbekannt;128;4.224645525836348e-4
Pratteln;Bezirk Liestal;Schweiz;Evangelisch-reformiert;2902;0.009578063528107094
Pratteln;Bezirk Liestal;Schweiz;Römisch-katholisch;1680;0.0055448472526602064
Pratteln;Bezirk Liestal;Schweiz;Christkatholisch;32;1.056161381459087e-4
Pratteln;Bezirk Liestal;Schweiz;Unbekannt;5013;0.01654542814142001
Pratteln;Bezirk Liestal;Ausland;Evangelisch-reformiert;150;4.95075647558947e-4
Pratteln;Bezirk Liestal;Ausland;Römisch-katholisch;1432;0.004726322182029414
Pratteln;Bezirk Liestal;Ausland;Christkatholisch;26;8.581311224355081e-5
Pratteln;Bezirk Liestal;Ausland;Unbekannt;5526;0.018238586856071607
Ramlinsburg;Bezirk Liestal;Schweiz;Evangelisch-reformiert;268;8.845351569719853e-4
Ramlinsburg;Bezirk Liestal;Schweiz;Römisch-katholisch;84;2.7724236263301034e-4
Ramlinsburg;Bezirk Liestal;Schweiz;Christkatholisch;1;3.3005043170596467e-6
Ramlinsburg;Bezirk Liestal;Schweiz;Unbekannt;281;9.274417130937607e-4
Ramlinsburg;Bezirk Liestal;Ausland;Evangelisch-reformiert;5;1.6502521585298232e-5
Ramlinsburg;Bezirk Liestal;Ausland;Römisch-katholisch;19;6.270958202413329e-5
Ramlinsburg;Bezirk Liestal;Ausland;Unbekannt;82;2.7064135399889103e-4
Seltisberg;Bezirk Liestal;Schweiz;Evangelisch-reformiert;617;0.002036411163625802
Seltisberg;Bezirk Liestal;Schweiz;Römisch-katholisch;185;6.105932986560347e-4
Seltisberg;Bezirk Liestal;Schweiz;Christkatholisch;4;1.3202017268238587e-5
Seltisberg;Bezirk Liestal;Schweiz;Unbekannt;410;0.0013532067699944552
