gemeinde;bezirk;nationalitaet;konfession;anzahl_personen;prozent_personen
Aesch (BL);Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1692;0.0055844533044649225
Aesch (BL);Bezirk Arlesheim;Schweiz;Römisch-katholisch;2249;0.007422834209067145
Aesch (BL);Bezirk Arlesheim;Schweiz;Christkatholisch;13;4.2906556121775406e-5
Aesch (BL);Bezirk Arlesheim;Schweiz;Unbekannt;4001;0.013205317772555647
Aesch (BL);Bezirk Arlesheim;Ausland;Evangelisch-reformiert;76;2.5083832809653315e-4
Aesch (BL);Bezirk Arlesheim;Ausland;Römisch-katholisch;677;0.002234441422649381
Aesch (BL);Bezirk Arlesheim;Ausland;Christkatholisch;14;4.6207060438835055e-5
Aesch (BL);Bezirk Arlesheim;Ausland;Unbekannt;2330;0.007690175058748977
Allschwil;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;3400;0.011221714678002799
Allschwil;Bezirk Arlesheim;Schweiz;Römisch-katholisch;3181;0.010498904232566737
Allschwil;Bezirk Arlesheim;Schweiz;Christkatholisch;169;5.577852295830803e-4
Allschwil;Bezirk Arlesheim;Schweiz;Unbekannt;8552;0.028225912919494098
Allschwil;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;233;7.690175058748977e-4
Allschwil;Bezirk Arlesheim;Ausland;Römisch-katholisch;1111;0.0036668602962532677
Allschwil;Bezirk Arlesheim;Ausland;Christkatholisch;49;1.6172471153592268e-4
Allschwil;Bezirk Arlesheim;Ausland;Unbekannt;5547;0.01830789744672986
Arlesheim;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1861;0.006142238534048002
Arlesheim;Bezirk Arlesheim;Schweiz;Römisch-katholisch;1751;0.005779183059171441
Arlesheim;Bezirk Arlesheim;Schweiz;Christkatholisch;16;5.280806907295435e-5
Arlesheim;Bezirk Arlesheim;Schweiz;Unbekannt;3705;0.012228368494705991
Arlesheim;Bezirk Arlesheim;Ausland;Evangelisch-reformiert;112;3.6965648351068044e-4
Arlesheim;Bezirk Arlesheim;Ausland;Römisch-katholisch;398;0.0013136007181897393
Arlesheim;Bezirk Arlesheim;Ausland;Christkatholisch;1;3.3005043170596467e-6
Arlesheim;Bezirk Arlesheim;Ausland;Unbekannt;1490;0.004917751432418874
Biel-Benken;Bezirk Arlesheim;Schweiz;Evangelisch-reformiert;1027;0.003389617933620257
Biel-Benken;Bezirk Arlesheim;Schweiz;Römisch-katholisch;591;0.001950598051382251
Biel-Benken;Bezirk Arlesheim;Schweiz;Christkatholisch;10;3.3005043170596465e-5
