erhebungsjahr;bfs_gemeindenummer;gemeinde;energietraeger_bezeichnung;co2_absolut_tonnen;co2_kg_pro_person
2018;2761;Aesch;Erdgas;12898.89135;1.2480785050798258
2018;2761;Aesch;Heizöl;11264.13676;1.0899019603289792
2018;2762;Allschwil;Erdgas;24068.87099;1.1380080846335696
2018;2762;Allschwil;Heizöl;16814.56782;0.7950150269503546
2018;2763;Arlesheim;Erdgas;11585.05121;1.2597924325793823
2018;2763;Arlesheim;Flüssiggas;30.51375;0.003318154632448891
2018;2763;Arlesheim;Heizöl;8956.2497;0.9739288494997824
2018;2764;Biel-Benken;Flüssiggas;10.3327;0.0030002032520325206
2018;2764;Biel-Benken;Heizöl;5135.38874;1.4911117131242744
2018;2765;Binningen;Erdgas;16200.44407;1.0336530383462004
2018;2765;Binningen;Heizöl;10064.61032;0.6421623377783449
2018;2766;Birsfelden;Erdgas;8728.43475;0.8382247911264765
2018;2766;Birsfelden;Flüssiggas;28.09203;0.0026977845001440507
2018;2766;Birsfelden;Heizöl;10243.325509999999;0.9837055133006818
2018;2767;Bottmingen;Erdgas;6652.19139;0.998827536036036
2018;2767;Bottmingen;Heizöl;4515.69465;0.6780322297297298
2018;2768;Ettingen;Erdgas;3961.4654299999997;0.7571608237767583
2018;2768;Ettingen;Flüssiggas;23.732910000000004;0.004536106651376147
2018;2768;Ettingen;Heizöl;4603.14624;0.87980623853211
2018;2768;Ettingen;Industrieabfall;1.5554000000000001;0.0002972859327217126
2018;2769;Münchenstein;Erdgas;15966.78205;1.3082164727570667
2018;2769;Münchenstein;Heizöl;12480.259900000001;1.022553043834494
2018;2770;Muttenz;Erdgas;34632.61305;1.9380309485170677
2018;2770;Muttenz;Flüssiggas;87.66651;0.004905792389479574
2018;2770;Muttenz;Heizöl;23669.22889;1.3245231611639618
2018;2770;Muttenz;Industrieabfall;111332.68714;6.230144775601566
2018;2771;Oberwil;Erdgas;9560.03253;0.8522047183098592
2018;2771;Oberwil;Heizöl;9056.41882;0.8073113585309325
2018;2772;Pfeffingen;Erdgas;1585.62734;0.6715914188903007
2018;2772;Pfeffingen;Heizöl;2154.76257;0.9126482719186785
2018;2773;Reinach;Erdgas;21828.26369;1.1373033757098943
2018;2773;Reinach;Flüssiggas;17.3557;0.0009042723909758766
2018;2773;Reinach;Heizöl;21399.1015;1.114943026103267
2018;2773;Reinach;Industrieabfall;1218.0488500000001;0.06346318188923046
2018;2774;Schönenbuch;Erdgas;1378.22611;0.9929582925072047
2018;2774;Schönenbuch;Heizöl;978.74763;0.7051495893371758
2018;2775;Therwil;Erdgas;8826.31041;0.8876016100160901
2018;2775;Therwil;Heizöl;9754.87439;0.9809809322204345
2018;2781;Blauen;Heizöl;1086.44548;1.565483400576369
2018;2782;Brislach;Flüssiggas;2.58317;0.0015751036585365853
2018;2782;Brislach;Heizöl;3093.81272;1.8864711707317072
2018;2783;Burg im Leimental;Flüssiggas;6.942279999999999;0.026197283018867923
2018;2783;Burg im Leimental;Heizöl;517.08165;1.9512515094339622
2018;2784;Dittingen;Flüssiggas;4.03621;0.005506425648021828
2018;2784;Dittingen;Heizöl;1280.32141;1.7466867803547068
2018;2785;Duggingen;Erdgas;165.07673;0.10501064249363867
2018;2785;Duggingen;Flüssiggas;66.51676;0.04231346055979644
2018;2785;Duggingen;Heizöl;2704.14554;1.7201943638676844
2018;2786;Grellingen;Heizöl;3756.84801;2.0428754812398044
2018;2787;Laufen;Erdgas;16251.751199999999;2.8886866690366153
2018;2787;Laufen;Flüssiggas;208.26488;0.037018286526839674
2018;2787;Laufen;Heizöl;9152.61137;1.6268416939210808
2018;2788;Liesberg;Flüssiggas;6812.65394;5.9447242059336824
2018;2788;Liesberg;Heizöl;3552.42729;3.099849293193717
2018;2789;Nenzlingen;Heizöl;491.8573;1.1204038724373577
2018;2790;Roggenburg;Heizöl;548.52559;1.994638509090909
2018;2791;Röschenz;Heizöl;2649.4132;1.407764718384697
2018;2792;Wahlen;Heizöl;1916.76124;1.3273969806094184
2018;2793;Zwingen;Erdgas;218.35938000000002;0.09170910541789165
2018;2793;Zwingen;Flüssiggas;35.92228;0.015087055858882823
2018;2793;Zwingen;Heizöl;5419.96912;2.2763415035699284
2018;2821;Arisdorf;Flüssiggas;7.74952;0.004693834039975773
2018;2821;Arisdorf;Heizöl;2884.66586;1.7472234161114477
2018;2822;Augst;Erdgas;1239.58043;1.215274931372549
2018;2822;Augst;Heizöl;2419.43001;2.3719902058823528
2018;2823;Bubendorf;Flüssiggas;1537.90971;0.35120112126056174
2018;2823;Bubendorf;Heizöl;8208.19703;1.8744455423612696
2018;2824;Frenkendorf;Erdgas;6623.3819300000005;1.017572888308496
2018;2824;Frenkendorf;Heizöl;4515.52549;0.693735672146259
2018;2825;Füllinsdorf;Erdgas;3999.19543;0.8871329702750665
2018;2825;Füllinsdorf;Heizöl;5390.2523599999995;1.1957081543921915
2018;2826;Giebenach;Heizöl;1311.33827;1.2596909414024975
2018;2827;Hersberg;Heizöl;398.25611;1.264305111111111
2018;2828;Lausen;Erdgas;4269.34974;0.8211867166762838
2018;2828;Lausen;Heizöl;4442.40979;0.8544738969032507
2018;2829;Liestal;Erdgas;18308.1765;1.2781469212510472
2018;2829;Liestal;Flüssiggas;67.44661;0.0047086435353253285
2018;2829;Liestal;Heizöl;14126.83871;0.9862355982965653
2018;2830;Lupsingen;Heizöl;1608.58157;1.1272470707778557
2018;2831;Pratteln;Erdgas;45835.59461;2.7510710407538563
2018;2831;Pratteln;Flüssiggas;14.6918;0.0008818078146569834
